May 10, 2022   09:58:41
-0.916, -1.916e-4
-0.915, -1.914e-4
-0.914, -1.912e-4
-0.913, -1.911e-4
-0.912, -1.909e-4
-0.911, -1.907e-4
-0.910, -1.906e-4
-0.909, -1.904e-4
-0.908, -1.902e-4
-0.907, -1.901e-4
-0.906, -1.899e-4
-0.905, -1.897e-4
-0.904, -1.895e-4
-0.903, -1.894e-4
-0.902, -1.892e-4
-0.901, -1.890e-4
-0.900, -1.888e-4
-0.899, -1.886e-4
-0.898, -1.884e-4
-0.897, -1.882e-4
-0.896, -1.881e-4
-0.895, -1.879e-4
-0.894, -1.877e-4
-0.893, -1.875e-4
-0.892, -1.873e-4
-0.891, -1.871e-4
-0.890, -1.869e-4
-0.889, -1.867e-4
-0.888, -1.864e-4
-0.887, -1.862e-4
-0.886, -1.860e-4
-0.885, -1.858e-4
-0.884, -1.856e-4
-0.883, -1.853e-4
-0.882, -1.851e-4
-0.881, -1.848e-4
-0.880, -1.846e-4
-0.879, -1.844e-4
-0.878, -1.841e-4
-0.877, -1.839e-4
-0.876, -1.836e-4
-0.875, -1.834e-4
-0.874, -1.831e-4
-0.873, -1.829e-4
-0.872, -1.826e-4
-0.871, -1.823e-4
-0.870, -1.820e-4
-0.869, -1.817e-4
-0.868, -1.814e-4
-0.867, -1.811e-4
-0.866, -1.809e-4
-0.865, -1.805e-4
-0.864, -1.802e-4
-0.863, -1.799e-4
-0.862, -1.796e-4
-0.861, -1.792e-4
-0.860, -1.789e-4
-0.859, -1.785e-4
-0.858, -1.781e-4
-0.857, -1.777e-4
-0.856, -1.774e-4
-0.855, -1.770e-4
-0.854, -1.765e-4
-0.853, -1.762e-4
-0.852, -1.757e-4
-0.851, -1.753e-4
-0.850, -1.749e-4
-0.849, -1.744e-4
-0.848, -1.739e-4
-0.847, -1.735e-4
-0.846, -1.730e-4
-0.845, -1.725e-4
-0.844, -1.720e-4
-0.843, -1.715e-4
-0.842, -1.710e-4
-0.841, -1.705e-4
-0.840, -1.699e-4
-0.839, -1.694e-4
-0.838, -1.687e-4
-0.837, -1.682e-4
-0.836, -1.676e-4
-0.835, -1.669e-4
-0.834, -1.663e-4
-0.833, -1.656e-4
-0.832, -1.650e-4
-0.831, -1.643e-4
-0.830, -1.636e-4
-0.829, -1.629e-4
-0.828, -1.621e-4
-0.827, -1.614e-4
-0.826, -1.607e-4
-0.825, -1.599e-4
-0.824, -1.591e-4
-0.823, -1.583e-4
-0.822, -1.574e-4
-0.821, -1.565e-4
-0.820, -1.557e-4
-0.819, -1.550e-4
-0.818, -1.541e-4
-0.817, -1.531e-4
-0.816, -1.522e-4
-0.815, -1.512e-4
-0.814, -1.501e-4
-0.813, -1.492e-4
-0.812, -1.481e-4
-0.811, -1.470e-4
-0.810, -1.459e-4
-0.809, -1.448e-4
-0.808, -1.436e-4
-0.807, -1.425e-4
-0.806, -1.414e-4
-0.805, -1.401e-4
-0.804, -1.389e-4
-0.803, -1.377e-4
-0.802, -1.365e-4
-0.801, -1.351e-4
-0.800, -1.339e-4
-0.799, -1.326e-4
-0.798, -1.311e-4
-0.797, -1.298e-4
-0.796, -1.284e-4
-0.795, -1.269e-4
-0.794, -1.255e-4
-0.793, -1.242e-4
-0.792, -1.226e-4
-0.791, -1.210e-4
-0.790, -1.195e-4
-0.789, -1.180e-4
-0.788, -1.163e-4
-0.787, -1.147e-4
-0.786, -1.132e-4
-0.785, -1.114e-4
-0.784, -1.097e-4
-0.783, -1.081e-4
-0.782, -1.063e-4
-0.781, -1.044e-4
-0.780, -1.027e-4
-0.779, -1.009e-4
-0.778, -9.898e-5
-0.777, -9.713e-5
-0.776, -9.530e-5
-0.775, -9.335e-5
-0.774, -9.142e-5
-0.773, -8.948e-5
-0.772, -8.744e-5
-0.771, -8.540e-5
-0.770, -8.342e-5
-0.769, -8.135e-5
-0.768, -7.907e-5
-0.767, -7.693e-5
-0.766, -7.487e-5
-0.765, -7.270e-5
-0.764, -7.050e-5
-0.763, -6.836e-5
-0.762, -6.612e-5
-0.761, -6.383e-5
-0.760, -6.162e-5
-0.759, -5.934e-5
-0.758, -5.699e-5
-0.757, -5.466e-5
-0.756, -5.238e-5
-0.755, -4.993e-5
-0.754, -4.754e-5
-0.753, -4.515e-5
-0.752, -4.273e-5
-0.751, -4.025e-5
-0.750, -3.779e-5
-0.749, -3.534e-5
-0.748, -3.279e-5
-0.747, -3.025e-5
-0.746, -2.782e-5
-0.745, -2.522e-5
-0.744, -2.260e-5
-0.743, -2.010e-5
-0.742, -1.761e-5
-0.741, -1.493e-5
-0.740, -1.232e-5
-0.739, -9.691e-6
-0.738, -6.926e-6
-0.737, -4.191e-6
-0.736, -1.605e-6
-0.735, 1.185e-6
-0.734, 4.028e-6
-0.733, 6.680e-6
-0.732, 9.443e-6
-0.731, 1.235e-5
-0.730, 1.509e-5
-0.729, 1.788e-5
-0.728, 2.082e-5
-0.727, 2.364e-5
-0.726, 2.640e-5
-0.725, 2.936e-5
-0.724, 3.230e-5
-0.723, 3.505e-5
-0.722, 3.793e-5
-0.721, 4.098e-5
-0.720, 4.386e-5
-0.719, 4.670e-5
-0.718, 4.974e-5
-0.717, 5.275e-5
-0.716, 5.572e-5
-0.715, 5.879e-5
-0.714, 6.176e-5
-0.713, 6.464e-5
-0.712, 6.767e-5
-0.711, 7.074e-5
-0.710, 7.367e-5
-0.709, 7.664e-5
-0.708, 7.977e-5
-0.707, 8.278e-5
-0.706, 8.574e-5
-0.705, 8.886e-5
-0.704, 9.194e-5
-0.703, 9.491e-5
-0.702, 9.801e-5
-0.701, 1.011e-4
-0.700, 1.041e-4
-0.699, 1.071e-4
-0.698, 1.103e-4
-0.697, 1.133e-4
-0.696, 1.163e-4
-0.695, 1.194e-4
-0.694, 1.225e-4
-0.693, 1.256e-4
-0.692, 1.286e-4
-0.691, 1.316e-4
-0.690, 1.346e-4
-0.689, 1.376e-4
-0.688, 1.408e-4
-0.687, 1.438e-4
-0.686, 1.469e-4
-0.685, 1.500e-4
-0.684, 1.531e-4
-0.683, 1.561e-4
-0.682, 1.591e-4
-0.681, 1.623e-4
-0.680, 1.653e-4
-0.679, 1.683e-4
-0.678, 1.714e-4
-0.677, 1.745e-4
-0.676, 1.775e-4
-0.675, 1.806e-4
-0.674, 1.836e-4
-0.673, 1.866e-4
-0.672, 1.895e-4
-0.671, 1.926e-4
-0.670, 1.955e-4
-0.669, 1.985e-4
-0.668, 2.015e-4
-0.667, 2.045e-4
-0.666, 2.074e-4
-0.665, 2.106e-4
-0.664, 2.135e-4
-0.663, 2.164e-4
-0.662, 2.192e-4
-0.661, 2.222e-4
-0.660, 2.250e-4
-0.659, 2.278e-4
-0.658, 2.307e-4
-0.657, 2.335e-4
-0.656, 2.362e-4
-0.655, 2.390e-4
-0.654, 2.419e-4
-0.653, 2.446e-4
-0.652, 2.474e-4
-0.651, 2.502e-4
-0.650, 2.528e-4
-0.649, 2.555e-4
-0.648, 2.582e-4
-0.647, 2.609e-4
-0.646, 2.634e-4
-0.645, 2.660e-4
-0.644, 2.686e-4
-0.643, 2.711e-4
-0.642, 2.736e-4
-0.641, 2.762e-4
-0.640, 2.785e-4
-0.639, 2.808e-4
-0.638, 2.834e-4
-0.637, 2.857e-4
-0.636, 2.880e-4
-0.635, 2.904e-4
-0.634, 2.927e-4
-0.633, 2.949e-4
-0.632, 2.972e-4
-0.631, 2.995e-4
-0.630, 3.016e-4
-0.629, 3.037e-4
-0.628, 3.059e-4
-0.627, 3.079e-4
-0.626, 3.099e-4
-0.625, 3.119e-4
-0.624, 3.138e-4
-0.623, 3.157e-4
-0.622, 3.176e-4
-0.621, 3.194e-4
-0.620, 3.211e-4
-0.619, 3.228e-4
-0.618, 3.246e-4
-0.617, 3.262e-4
-0.616, 3.277e-4
-0.615, 3.293e-4
-0.614, 3.309e-4
-0.613, 3.323e-4
-0.612, 3.337e-4
-0.611, 3.350e-4
-0.610, 3.362e-4
-0.609, 3.374e-4
-0.608, 3.386e-4
-0.607, 3.397e-4
-0.606, 3.406e-4
-0.605, 3.416e-4
-0.604, 3.426e-4
-0.603, 3.434e-4
-0.602, 3.441e-4
-0.601, 3.449e-4
-0.600, 3.455e-4
-0.599, 3.460e-4
-0.598, 3.466e-4
-0.597, 3.470e-4
-0.596, 3.473e-4
-0.595, 3.476e-4
-0.594, 3.478e-4
-0.593, 3.478e-4
-0.592, 3.479e-4
-0.591, 3.479e-4
-0.590, 3.477e-4
-0.589, 3.474e-4
-0.588, 3.471e-4
-0.587, 3.468e-4
-0.586, 3.463e-4
-0.585, 3.458e-4
-0.584, 3.452e-4
-0.583, 3.444e-4
-0.582, 3.436e-4
-0.581, 3.428e-4
-0.580, 3.418e-4
-0.579, 3.407e-4
-0.578, 3.397e-4
-0.577, 3.384e-4
-0.576, 3.371e-4
-0.575, 3.358e-4
-0.574, 3.344e-4
-0.573, 3.327e-4
-0.572, 3.311e-4
-0.571, 3.294e-4
-0.570, 3.276e-4
-0.569, 3.257e-4
-0.568, 3.239e-4
-0.567, 3.219e-4
-0.566, 3.198e-4
-0.565, 3.178e-4
-0.564, 3.156e-4
-0.563, 3.134e-4
-0.562, 3.112e-4
-0.561, 3.089e-4
-0.560, 3.065e-4
-0.559, 3.040e-4
-0.558, 3.016e-4
-0.557, 2.991e-4
-0.556, 2.966e-4
-0.555, 2.941e-4
-0.554, 2.916e-4
-0.553, 2.890e-4
-0.552, 2.865e-4
-0.551, 2.840e-4
-0.550, 2.814e-4
-0.549, 2.789e-4
-0.548, 2.764e-4
-0.547, 2.739e-4
-0.546, 2.713e-4
-0.545, 2.689e-4
-0.544, 2.664e-4
-0.543, 2.639e-4
-0.542, 2.615e-4
-0.541, 2.591e-4
-0.540, 2.567e-4
-0.539, 2.544e-4
-0.538, 2.521e-4
-0.537, 2.497e-4
-0.536, 2.475e-4
-0.535, 2.453e-4
-0.534, 2.431e-4
-0.533, 2.409e-4
-0.532, 2.388e-4
-0.531, 2.367e-4
-0.530, 2.346e-4
-0.529, 2.326e-4
-0.528, 2.306e-4
-0.527, 2.286e-4
-0.526, 2.267e-4
-0.525, 2.248e-4
-0.524, 2.229e-4
-0.523, 2.210e-4
-0.522, 2.192e-4
-0.521, 2.174e-4
-0.520, 2.156e-4
-0.519, 2.139e-4
-0.518, 2.122e-4
-0.517, 2.105e-4
-0.516, 2.088e-4
-0.515, 2.072e-4
-0.514, 2.056e-4
-0.513, 2.040e-4
-0.512, 2.025e-4
-0.511, 2.009e-4
-0.510, 1.994e-4
-0.509, 1.979e-4
-0.508, 1.964e-4
-0.507, 1.950e-4
-0.506, 1.936e-4
-0.505, 1.922e-4
-0.504, 1.908e-4
-0.503, 1.894e-4
-0.502, 1.881e-4
-0.501, 1.868e-4
-0.500, 1.855e-4
-0.499, 1.842e-4
-0.498, 1.830e-4
-0.497, 1.817e-4
-0.496, 1.805e-4
-0.495, 1.793e-4
-0.494, 1.781e-4
-0.493, 1.769e-4
-0.492, 1.758e-4
-0.491, 1.746e-4
-0.490, 1.735e-4
-0.489, 1.724e-4
-0.488, 1.713e-4
-0.487, 1.702e-4
-0.486, 1.691e-4
-0.485, 1.681e-4
-0.484, 1.670e-4
-0.483, 1.660e-4
-0.482, 1.650e-4
-0.481, 1.640e-4
-0.480, 1.630e-4
-0.479, 1.620e-4
-0.478, 1.610e-4
-0.477, 1.600e-4
-0.476, 1.591e-4
-0.475, 1.581e-4
-0.474, 1.572e-4
-0.473, 1.563e-4
-0.472, 1.554e-4
-0.471, 1.545e-4
-0.470, 1.536e-4
-0.469, 1.527e-4
-0.468, 1.518e-4
-0.467, 1.510e-4
-0.466, 1.501e-4
-0.465, 1.493e-4
-0.464, 1.485e-4
-0.463, 1.477e-4
-0.462, 1.468e-4
-0.461, 1.461e-4
-0.460, 1.453e-4
-0.459, 1.445e-4
-0.458, 1.437e-4
-0.457, 1.429e-4
-0.456, 1.422e-4
-0.455, 1.414e-4
-0.454, 1.407e-4
-0.453, 1.399e-4
-0.452, 1.392e-4
-0.451, 1.385e-4
-0.450, 1.378e-4
-0.449, 1.371e-4
-0.448, 1.364e-4
-0.447, 1.357e-4
-0.446, 1.350e-4
-0.445, 1.343e-4
-0.444, 1.336e-4
-0.443, 1.329e-4
-0.442, 1.323e-4
-0.441, 1.316e-4
-0.440, 1.310e-4
-0.439, 1.303e-4
-0.438, 1.297e-4
-0.437, 1.291e-4
-0.436, 1.284e-4
-0.435, 1.278e-4
-0.434, 1.272e-4
-0.433, 1.266e-4
-0.432, 1.259e-4
-0.431, 1.253e-4
-0.430, 1.248e-4
-0.429, 1.242e-4
-0.428, 1.236e-4
-0.427, 1.230e-4
-0.426, 1.224e-4
-0.425, 1.218e-4
-0.424, 1.213e-4
-0.423, 1.207e-4
-0.422, 1.202e-4
-0.421, 1.196e-4
-0.420, 1.191e-4
-0.419, 1.185e-4
-0.418, 1.180e-4
-0.417, 1.175e-4
-0.416, 1.169e-4
-0.415, 1.164e-4
-0.414, 1.159e-4
-0.413, 1.154e-4
-0.412, 1.149e-4
-0.411, 1.143e-4
-0.410, 1.139e-4
-0.409, 1.133e-4
-0.408, 1.128e-4
-0.407, 1.124e-4
-0.406, 1.119e-4
-0.405, 1.114e-4
-0.404, 1.109e-4
-0.403, 1.104e-4
-0.402, 1.100e-4
-0.401, 1.095e-4
-0.400, 1.090e-4
-0.399, 1.086e-4
-0.398, 1.081e-4
-0.397, 1.076e-4
-0.396, 1.072e-4
-0.395, 1.067e-4
-0.394, 1.063e-4
-0.393, 1.059e-4
-0.392, 1.054e-4
-0.391, 1.050e-4
-0.390, 1.045e-4
-0.389, 1.041e-4
-0.388, 1.036e-4
-0.387, 1.032e-4
-0.386, 1.028e-4
-0.385, 1.024e-4
-0.384, 1.020e-4
-0.383, 1.016e-4
-0.382, 1.011e-4
-0.381, 1.007e-4
-0.380, 1.003e-4
-0.379, 9.993e-5
-0.378, 9.953e-5
-0.377, 9.914e-5
-0.376, 9.876e-5
-0.375, 9.836e-5
-0.374, 9.797e-5
-0.373, 9.760e-5
-0.372, 9.721e-5
-0.371, 9.682e-5
-0.370, 9.646e-5
-0.369, 9.609e-5
-0.368, 9.571e-5
-0.367, 9.534e-5
-0.366, 9.499e-5
-0.365, 9.461e-5
-0.364, 9.424e-5
-0.363, 9.389e-5
-0.362, 9.352e-5
-0.361, 9.316e-5
-0.360, 9.281e-5
-0.359, 9.247e-5
-0.358, 9.211e-5
-0.357, 9.176e-5
-0.356, 9.142e-5
-0.355, 9.106e-5
-0.354, 9.072e-5
-0.353, 9.039e-5
-0.352, 9.004e-5
-0.351, 8.970e-5
-0.350, 8.938e-5
-0.349, 8.904e-5
-0.348, 8.870e-5
-0.347, 8.838e-5
-0.346, 8.806e-5
-0.345, 8.772e-5
-0.344, 8.741e-5
-0.343, 8.710e-5
-0.342, 8.677e-5
-0.341, 8.645e-5
-0.340, 8.615e-5
-0.339, 8.585e-5
-0.338, 8.552e-5
-0.337, 8.522e-5
-0.336, 8.493e-5
-0.335, 8.461e-5
-0.334, 8.431e-5
-0.333, 8.403e-5
-0.332, 8.372e-5
-0.331, 8.342e-5
-0.330, 8.313e-5
-0.329, 8.284e-5
-0.328, 8.254e-5
-0.327, 8.225e-5
-0.326, 8.197e-5
-0.325, 8.167e-5
-0.324, 8.138e-5
-0.323, 8.111e-5
-0.322, 8.082e-5
-0.321, 8.053e-5
-0.320, 8.026e-5
-0.319, 7.999e-5
-0.318, 7.971e-5
-0.317, 7.944e-5
-0.316, 7.918e-5
-0.315, 7.890e-5
-0.314, 7.863e-5
-0.313, 7.837e-5
-0.312, 7.810e-5
-0.311, 7.782e-5
-0.310, 7.756e-5
-0.309, 7.730e-5
-0.308, 7.702e-5
-0.307, 7.677e-5
-0.306, 7.651e-5
-0.305, 7.624e-5
-0.304, 7.598e-5
-0.303, 7.574e-5
-0.302, 7.548e-5
-0.301, 7.521e-5
-0.300, 7.497e-5
-0.299, 7.473e-5
-0.298, 7.447e-5
-0.297, 7.423e-5
-0.296, 7.399e-5
-0.295, 7.374e-5
-0.294, 7.350e-5
-0.293, 7.327e-5
-0.292, 7.303e-5
-0.291, 7.279e-5
-0.290, 7.256e-5
-0.289, 7.233e-5
-0.288, 7.209e-5
-0.287, 7.186e-5
-0.286, 7.163e-5
-0.285, 7.139e-5
-0.284, 7.116e-5
-0.283, 7.094e-5
-0.282, 7.070e-5
-0.281, 7.047e-5
-0.280, 7.026e-5
-0.279, 7.003e-5
-0.278, 6.980e-5
-0.277, 6.958e-5
-0.276, 6.936e-5
-0.275, 6.914e-5
-0.274, 6.892e-5
-0.273, 6.871e-5
-0.272, 6.849e-5
-0.271, 6.827e-5
-0.270, 6.806e-5
-0.269, 6.784e-5
-0.268, 6.762e-5
-0.267, 6.741e-5
-0.266, 6.720e-5
-0.265, 6.699e-5
-0.264, 6.677e-5
-0.263, 6.657e-5
-0.262, 6.635e-5
-0.261, 6.614e-5
-0.260, 6.594e-5
-0.259, 6.573e-5
-0.258, 6.553e-5
-0.257, 6.533e-5
-0.256, 6.514e-5
-0.255, 6.493e-5
-0.254, 6.473e-5
-0.253, 6.454e-5
-0.252, 6.434e-5
-0.251, 6.415e-5
-0.250, 6.396e-5
-0.249, 6.377e-5
-0.248, 6.357e-5
-0.247, 6.339e-5
-0.246, 6.320e-5
-0.245, 6.300e-5
-0.244, 6.281e-5
-0.243, 6.263e-5
-0.242, 6.244e-5
-0.241, 6.224e-5
-0.240, 6.206e-5
-0.239, 6.187e-5
-0.238, 6.168e-5
-0.237, 6.151e-5
-0.236, 6.132e-5
-0.235, 6.113e-5
-0.234, 6.095e-5
-0.233, 6.078e-5
-0.232, 6.059e-5
-0.231, 6.041e-5
-0.230, 6.024e-5
-0.229, 6.006e-5
-0.228, 5.987e-5
-0.227, 5.971e-5
-0.226, 5.953e-5
-0.225, 5.934e-5
-0.224, 5.918e-5
-0.223, 5.901e-5
-0.222, 5.883e-5
-0.221, 5.866e-5
-0.220, 5.850e-5
-0.219, 5.833e-5
-0.218, 5.815e-5
-0.217, 5.799e-5
-0.216, 5.783e-5
-0.215, 5.765e-5
-0.214, 5.749e-5
-0.213, 5.733e-5
-0.212, 5.716e-5
-0.211, 5.700e-5
-0.210, 5.684e-5
-0.209, 5.668e-5
-0.208, 5.651e-5
-0.207, 5.636e-5
-0.206, 5.620e-5
-0.205, 5.603e-5
-0.204, 5.587e-5
-0.203, 5.573e-5
-0.202, 5.555e-5
-0.201, 5.539e-5
-0.200, 5.525e-5
-0.199, 5.508e-5
-0.198, 5.491e-5
-0.197, 5.478e-5
-0.196, 5.462e-5
-0.195, 5.445e-5
-0.194, 5.431e-5
-0.193, 5.417e-5
-0.192, 5.400e-5
-0.191, 5.385e-5
-0.190, 5.372e-5
-0.189, 5.357e-5
-0.188, 5.341e-5
-0.187, 5.328e-5
-0.186, 5.313e-5
-0.185, 5.297e-5
-0.184, 5.283e-5
-0.183, 5.270e-5
-0.182, 5.255e-5
-0.181, 5.240e-5
-0.180, 5.226e-5
-0.179, 5.212e-5
-0.178, 5.196e-5
-0.177, 5.184e-5
-0.176, 5.169e-5
-0.175, 5.154e-5
-0.174, 5.140e-5
-0.173, 5.127e-5
-0.172, 5.112e-5
-0.171, 5.098e-5
-0.170, 5.085e-5
-0.169, 5.071e-5
-0.168, 5.056e-5
-0.167, 5.043e-5
-0.166, 5.030e-5
-0.165, 5.015e-5
-0.164, 5.001e-5
-0.163, 4.990e-5
-0.162, 4.975e-5
-0.161, 4.961e-5
-0.160, 4.949e-5
-0.159, 4.935e-5
-0.158, 4.920e-5
-0.157, 4.908e-5
-0.156, 4.895e-5
-0.155, 4.881e-5
-0.154, 4.870e-5
-0.153, 4.857e-5
-0.152, 4.844e-5
-0.151, 4.831e-5
-0.150, 4.819e-5
-0.149, 4.806e-5
-0.148, 4.793e-5
-0.147, 4.782e-5
-0.146, 4.770e-5
-0.145, 4.756e-5
-0.144, 4.744e-5
-0.143, 4.732e-5
-0.142, 4.719e-5
-0.141, 4.706e-5
-0.140, 4.695e-5
-0.139, 4.683e-5
-0.138, 4.669e-5
-0.137, 4.658e-5
-0.136, 4.647e-5
-0.135, 4.633e-5
-0.134, 4.621e-5
-0.133, 4.610e-5
-0.132, 4.598e-5
-0.131, 4.585e-5
-0.130, 4.574e-5
-0.129, 4.562e-5
-0.128, 4.550e-5
-0.127, 4.539e-5
-0.126, 4.527e-5
-0.125, 4.515e-5
-0.124, 4.504e-5
-0.123, 4.493e-5
-0.122, 4.481e-5
-0.121, 4.469e-5
-0.120, 4.459e-5
-0.119, 4.447e-5
-0.118, 4.435e-5
-0.117, 4.424e-5
-0.116, 4.413e-5
-0.115, 4.401e-5
-0.114, 4.390e-5
-0.113, 4.380e-5
-0.112, 4.367e-5
-0.111, 4.356e-5
-0.110, 4.347e-5
-0.109, 4.335e-5
-0.108, 4.323e-5
-0.107, 4.314e-5
-0.106, 4.303e-5
-0.105, 4.291e-5
-0.104, 4.281e-5
-0.103, 4.272e-5
-0.102, 4.260e-5
-0.101, 4.249e-5
-0.100, 4.241e-5
-0.099, 4.230e-5
-0.098, 4.218e-5
-0.097, 4.209e-5
-0.096, 4.199e-5
-0.095, 4.187e-5
-0.094, 4.177e-5
-0.093, 4.168e-5
-0.092, 4.157e-5
-0.091, 4.145e-5
-0.090, 4.137e-5
-0.089, 4.126e-5
-0.088, 4.114e-5
-0.087, 4.105e-5
-0.086, 4.096e-5
-0.085, 4.085e-5
-0.084, 4.075e-5
-0.083, 4.067e-5
-0.082, 4.055e-5
-0.081, 4.044e-5
-0.080, 4.035e-5
-0.079, 4.025e-5
-0.078, 4.014e-5
-0.077, 4.005e-5
-0.076, 3.996e-5
-0.075, 3.985e-5
-0.074, 3.975e-5
-0.073, 3.967e-5
-0.072, 3.957e-5
-0.071, 3.946e-5
-0.070, 3.938e-5
-0.069, 3.929e-5
-0.068, 3.919e-5
-0.067, 3.910e-5
-0.066, 3.901e-5
-0.065, 3.891e-5
-0.064, 3.882e-5
-0.063, 3.874e-5
-0.062, 3.864e-5
-0.061, 3.854e-5
-0.060, 3.847e-5
-0.059, 3.838e-5
-0.058, 3.828e-5
-0.057, 3.820e-5
-0.056, 3.811e-5
-0.055, 3.801e-5
-0.054, 3.791e-5
-0.053, 3.783e-5
-0.052, 3.774e-5
-0.051, 3.764e-5
-0.050, 3.756e-5
-0.049, 3.748e-5
-0.048, 3.737e-5
-0.047, 3.729e-5
-0.046, 3.721e-5
-0.045, 3.711e-5
-0.044, 3.703e-5
-0.043, 3.695e-5
-0.042, 3.686e-5
-0.041, 3.677e-5
-0.040, 3.669e-5
-0.039, 3.660e-5
-0.038, 3.651e-5
-0.037, 3.642e-5
-0.036, 3.634e-5
-0.035, 3.625e-5
-0.034, 3.617e-5
-0.033, 3.609e-5
-0.032, 3.600e-5
-0.031, 3.591e-5
-0.030, 3.584e-5
-0.029, 3.576e-5
-0.028, 3.567e-5
-0.027, 3.559e-5
-0.026, 3.551e-5
-0.025, 3.542e-5
-0.024, 3.535e-5
-0.023, 3.528e-5
-0.022, 3.519e-5
-0.021, 3.511e-5
-0.020, 3.504e-5
-0.019, 3.495e-5
-0.018, 3.486e-5
-0.017, 3.479e-5
-0.016, 3.472e-5
-0.015, 3.462e-5
-0.014, 3.455e-5
-0.013, 3.448e-5
-0.012, 3.439e-5
-0.011, 3.431e-5
-0.010, 3.424e-5
-0.009, 3.416e-5
-0.008, 3.408e-5
-0.007, 3.401e-5
-0.006, 3.393e-5
-0.005, 3.385e-5
-0.004, 3.377e-5
-0.003, 3.370e-5
-0.002, 3.363e-5
-0.001, 3.355e-5
-0.000, 3.341e-5
-0.001, 3.326e-5
-0.002, 3.316e-5
-0.003, 3.307e-5
-0.004, 3.298e-5
-0.005, 3.288e-5
-0.006, 3.280e-5
-0.007, 3.272e-5
-0.008, 3.262e-5
-0.009, 3.253e-5
-0.010, 3.246e-5
-0.011, 3.238e-5
-0.012, 3.228e-5
-0.013, 3.221e-5
-0.014, 3.213e-5
-0.015, 3.204e-5
-0.016, 3.196e-5
-0.017, 3.189e-5
-0.018, 3.181e-5
-0.019, 3.173e-5
-0.020, 3.166e-5
-0.021, 3.159e-5
-0.022, 3.150e-5
-0.023, 3.143e-5
-0.024, 3.136e-5
-0.025, 3.127e-5
-0.026, 3.120e-5
-0.027, 3.114e-5
-0.028, 3.105e-5
-0.029, 3.098e-5
-0.030, 3.091e-5
-0.031, 3.084e-5
-0.032, 3.075e-5
-0.033, 3.068e-5
-0.034, 3.062e-5
-0.035, 3.053e-5
-0.036, 3.047e-5
-0.037, 3.041e-5
-0.038, 3.033e-5
-0.039, 3.025e-5
-0.040, 3.019e-5
-0.041, 3.011e-5
-0.042, 3.003e-5
-0.043, 2.997e-5
-0.044, 2.991e-5
-0.045, 2.983e-5
-0.046, 2.976e-5
-0.047, 2.970e-5
-0.048, 2.962e-5
-0.049, 2.954e-5
-0.050, 2.948e-5
-0.051, 2.941e-5
-0.052, 2.934e-5
-0.053, 2.928e-5
